word,tmin,order,logfrqhal,sndpwr,phrases,bin
wild,11.00817578,1541,10.08,4.1327E-09,1,one
beasts,11.41525078,1542,8.13,3.8921E-09,2,two
and,11.95402578,1543,16.19,3.7358E-09,1,one
other,12.03786078,1544,13.71,3.9672E-09,1,one
unpleasant,12.30624978,1545,8.02,3.6062E-09,1,one
things,12.89987678,1546,12.48,3.9558E-09,9,three+
all,13.70205278,1547,14.35,3.8182E-09,1,one
because,13.92953578,1548,13.13,3.7084E-09,1,one
they,14.31266578,1549,14.3,3.5805E-09,2,two
would,14.48028478,1550,14.06,3.6096E-09,1,one
not,14.91130478,1551,14.77,4.0385E-09,1,one
remember,15.13878778,1552,11.87,3.6586E-09,1,one
the,15.58178078,1553,16.96,3.9748E-09,1,one
simple,15.67756378,1554,11.35,3.6666E-09,1,one
rules,16.27620278,1555,11.29,3.8769E-09,7,three+
their,16.70722278,1556,13.65,3.8536E-09,1,one
friends,16.85089678,1557,11.26,4.1492E-09,2,two
had,17.19810778,1558,13.53,3.4492E-09,1,one
taught,17.30586278,1559,9.83,4.0791E-09,1,one
them,17.65307378,1560,13.59,3.4969E-09,6,three+
such,18.37144078,1561,12.82,3.8456E-09,1,one
as,18.70667878,1562,14.79,4.1589E-09,1,one
that,19.52082878,1563,15.48,3.6641E-09,4,three+
a,19.65559478,1564,16.18,3.8574E-09,1,one
red,19.73351478,1565,11.55,3.6907E-09,1,one
hot,20.02368578,1566,10.85,0.000010504,1,one
poker,20.39484178,1567,8.42,0.0030747,2,two
will,20.77797178,1568,14.35,0.000015474,1,one
burn,21.01742778,1569,9.43,0.01342,1,one
you,21.42450178,1570,15.43,0.0049205,2,two
if,21.60409378,1571,14.65,0.00011448,1,one
you,21.75973978,1572,15.43,0.00073658,2,two
hold,21.92735978,1573,11.17,0.012613,1,one
it,22.18067778,1574,15.37,0.013531,2,two
too,22.33868078,1575,12.87,0.00010611,1,one
long,22.54863078,1576,12.52,0.0069697,10,three+
and,23.23239378,1577,16.19,0.012283,1,one
that,23.42395778,1578,15.48,0.016659,1,one
if,23.55565878,1579,14.65,0.010557,1,one
you,23.67538678,1580,15.43,0.00055825,2,two
cut,23.79511478,1581,11.5,0.0076897,1,one
your,24.07048878,1582,14.35,0.0056548,1,one
finger,24.21416178,1583,10.53,0.0027069,2,two
very,24.58531878,1584,13.28,0.0041202,1,one
deeply,25.07620278,1585,8.98,0.0011077,2,two
with,25.49525078,1586,14.97,0.0038355,1,one
a,25.69193578,1587,16.18,0.000010327,1,one
knife,25.74667878,1588,8.87,0.00058639,6,three+
it,26.12185278,1589,15.37,0.005522,2,two
usually,26.23756378,1590,11.57,0.0038673,2,two
bleeds,26.68055678,1591,6.25,4.4199E-07,6,three+
and,27.87783578,1592,16.19,0.0063154,1,one
she,27.98678578,1593,13.1,0.00014229,2,two
had,28.16643278,1594,13.53,0.00017151,1,one
